Date;title;category;account;amount;type;;;;;;;
29/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;ca732d24-ab2e-4928-828b-08ae8246c0c8
29/04/2024;AtR;Transport;Salary Bank;35000;EXPENSE;;;;;;;20b0e0d5-2587-4033-a4d4-af88ade8281e
28/04/2024;Baba;Bills & Fees;Salary Bank;500000;EXPENSE;;;;;;;bcd5e720-c629-405d-92ce-a63f78b4fe4e
28/04/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;898b5084-1696-4762-9dd1-a309b83348c2
27/04/2024;🍰;Food & Drinks;Salary Bank;100000;EXPENSE;;;;;;;cc950855-0206-41da-a80c-c3029267ffee
27/04/2024;Milk;Bills & Fees;Salary Bank;40000;EXPENSE;;;;;;;8872e260-1d9b-41e5-a7af-739baa5c9d94
27/04/2024;Snacks;Food & Drinks;Salary Bank;90000;EXPENSE;;;;;;;96623580-7f22-4b17-95ba-a5923dcc532d
27/04/2024;Water;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;7e97a3c7-7731-47dc-8c82-322d5f552f20
27/04/2024;Juice;Food & Drinks;Salary Bank;120000;EXPENSE;;;;;;;cd891ba6-62e1-448d-bd7a-1067528a4dc7
27/04/2024;Water;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;8218dade-b95a-42f4-af7b-f49bd8e00a1a
27/04/2024;Lunch;Food & Drinks;Salary Bank;100000;EXPENSE;;;;;;;8c688926-48c5-4043-835c-1864ee2c4b5a
27/04/2024;Sujith;Bills & Fees;Salary Bank;100000;INCOME;;;;;;;53b5768e-83fb-45a2-8ae1-8b91cb250ede
27/04/2024;Priyanka;Bills & Fees;Salary Bank;300000;INCOME;;;;;;;130c4200-c84d-49ed-a32f-99c5c113c05d
27/04/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;5db87f93-4f96-4925-a06f-6ebb5d0f8fab
26/04/2024;Juice;Food & Drinks;Salary Bank;49000;EXPENSE;;;;;;;cfe93cb8-4d9e-491d-8112-dcf7bc356718
26/04/2024;Chotu;Bills & Fees;Salary Bank;500000;EXPENSE;;;;;;;2c3ab3b3-c29b-403b-995d-ffca7031439d
26/04/2024;Snacks;Food & Drinks;Salary Bank;10000;EXPENSE;;;;;;;fde12671-069e-4902-9b8b-9ff25aa4fbb4
26/04/2024;Drink;Food & Drinks;Salary Bank;49000;EXPENSE;;;;;;;080d00a7-eff8-4afa-b05b-b1978df5870f
26/04/2024;Lunch;Food & Drinks;Salary Bank;120000;EXPENSE;;;;;;;c689d249-3ea2-4f33-96de-562d61eaf0e2
26/04/2024;Water;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;d35b7b34-4cee-441b-8536-51d87b0280f0
26/04/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;87bc3d98-21f8-4594-830a-65f3194aebc1
25/04/2024;Snacks;Food & Drinks;Salary Bank;20000;EXPENSE;;;;;;;67bb9b24-515c-460b-9ee7-0caf306426fd
25/04/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;304d3124-3599-4697-8c41-387bbbfa7c3b
24/04/2024;Shirt;Bills & Fees;Salary Bank;699000;EXPENSE;;;;;;;a6f6cecd-3aa8-4980-b1df-698685a7b495
24/04/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;85244f40-cdd6-4703-94d0-83f4c05750af
24/04/2024;Petrol;Transport;Salary Bank;50000;EXPENSE;;;;;;;3b6e9e6a-f590-4b0e-996e-301df8dfbb9b
24/04/2024;Snacks;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;c033f55b-4b8b-46b4-9062-255ceca7461c
23/04/2024;Team lunch;Food & Drinks;Salary Bank;795000;EXPENSE;;;;;;;f453f211-da65-4ebd-86cb-1e76eeeab835
23/04/2024;Bus;Transport;Cash;20000;EXPENSE;;;;;;;fa88c642-0f31-475b-af47-42d14c122045
23/04/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;cef59635-4e95-47b3-8d08-162a96eeaeb9
23/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;86290f86-9587-4953-9e9c-08d3f78fe28b
22/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;89490386-793b-4b56-ae73-7b75ab9a5b63
22/04/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;22ed2a16-9eeb-4704-900d-c57ddb6b97d8
22/04/2024;Bus Pass;Transport;Salary Bank;430000;EXPENSE;;;;;;;f9d1f72b-571d-4a51-bc63-1fed65c0c727
22/04/2024;Recharge;Bills & Fees;Salary Bank;259000;EXPENSE;;;;;;;78641f2b-8615-4c7e-ace8-b995f369d04e
22/04/2024;Adjust balance;Transport;Savings Bank;44020;INCOME;;;;;;;21420e78-ed3a-4c32-a040-25969feefc6f
22/04/2024;Settlement;Transport;Salary Bank;20000;EXPENSE;;;;;;;caae5a83-5d36-46df-9832-056d9f631195
22/04/2024;Adjust balance;Transport;Cash;20000;EXPENSE;;;;;;;fa774275-a1ac-4748-b6a3-3defc6d3be0e
22/04/2024;Bus;Transport;Cash;30000;EXPENSE;;;;;;;a2b01bbe-619c-466c-a1a1-e8769b35a7d4
22/04/2024;;Bills & Fees;Cash;30000;INCOME;;;;;;;c82328a0-7ceb-4d3c-9053-dc44ad0e738c
22/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;c4e66e65-0635-41e6-8a2c-27053942453d
21/04/2024;Juice;Food & Drinks;Salary Bank;40000;EXPENSE;;;;;;;da63805a-1404-4f27-8561-64fa5f76fd44
21/04/2024;Manchuria;Food & Drinks;Cash;70000;EXPENSE;;;;;;;7de23ae0-6434-4a5a-801e-498744d12c47
21/04/2024;Breakfast;Food & Drinks;Salary Bank;25000;EXPENSE;;;;;;;c38ecaeb-2832-4e53-bbca-59991c235cc7
21/04/2024;Petrol;Transport;Salary Bank;100000;EXPENSE;;;;;;;e50c7c0d-1b01-43ed-8392-4ed36eb7e969
21/04/2024;Tyre;Bills & Fees;Cash;10000;EXPENSE;;;;;;;9d6e1164-eca4-43d6-a297-94dd74513fe5
20/04/2024;Shirt;Bills & Fees;Salary Bank;799000;EXPENSE;;;;;;;c75d702b-721a-4249-b31e-aa48e2a2813e
20/04/2024;Burrito;Food & Drinks;Salary Bank;83000;EXPENSE;;;;;;;5d213420-bdb4-4dc7-87c3-ba8a227aa2e7
20/04/2024;Sid PayUp;Bills & Fees;Salary Bank;89520;INCOME;;;;;;;e675ad21-0ff7-4add-b8e7-74cb235e7524
20/04/2024;Ice Cream;Food & Drinks;Salary Bank;88010;EXPENSE;;;;;;;70c8bf0f-33b3-4e1c-8ff5-dea0d249fd79
20/04/2024;Water;Food & Drinks;Cash;30000;EXPENSE;;;;;;;69ee468f-b045-4b68-8ece-4b2796cf07f2
19/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;8eb3f736-9b8b-41e5-bf67-c7303f7a300b
19/04/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;bf9cac22-e84b-4789-8df7-09cf9327f049
19/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;282095ad-26ea-43a9-a073-96c08f6ea5c9
18/04/2024;Snacks;Food & Drinks;Salary Bank;75000;EXPENSE;;;;;;;64cae55d-06f1-41ae-93e0-115dc44844c8
18/04/2024;Snacks;Food & Drinks;Salary Bank;130000;EXPENSE;;;;;;;e4f37e8b-2f2f-4b3a-a533-819e8fa462f4
17/04/2024;;Transport;Cash;5000;EXPENSE;;;;;;;2bfb6713-ab01-4b6f-9998-dedab45d17af
17/04/2024;Reacharge;Transport;Salary Bank;0;TRANSFER;INR;Metro Card;200;INR;;;9536b873-151d-43ed-b6a3-43a4be8b15a5
17/04/2024;AtR;Transport;Cash;35000;EXPENSE;;;;;;;d5fb955e-cfbc-4602-95d7-c4a37877a3a5
17/04/2024;Withdraw;Transport;Salary Bank;0;TRANSFER;INR;Cash;300;INR;;;63ddb530-ac2a-4185-8698-609d06a746bc
16/04/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;4320c442-4118-4718-bdfc-d41938cb4a64
16/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;9f3d2290-3cd6-4f8e-8d70-7920798c5e0b
16/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;c627e400-ca70-4dc5-a9b4-6d5c04aa6a74
15/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;50b0be3a-fcf0-45f5-8563-ba2e9ce8a4de
15/04/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;b1e0e78e-a75a-41fb-8532-57fec16343a3
15/04/2024;Snacks;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;d4fcda75-8b2a-4d55-9625-1ef27113f942
15/04/2024;Domain;Bills & Fees;Salary Bank;616320;EXPENSE;;;;;;;6fd5d116-e6a4-48c9-91b4-ad74e76fd663
15/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;da84716c-3965-4ab4-8ff0-5d26ac555829
15/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;51ff7712-b942-470d-bd30-a0e67aee3a60
14/04/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;eb48ad4f-c670-4dfb-8c7c-a8d0dd7af005
12/04/2024;Bus;Transport;Cash;20000;EXPENSE;;;;;;;0cbeec5d-7581-4978-b52c-2a3dfe3c20ec
12/04/2024;Recharge;Transport;Salary Bank;0;TRANSFER;INR;Metro Card;200;INR;;;dd15ea5b-c423-433e-b907-c7dba7bad0af
12/04/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;7eb6d8c1-17b2-4477-83b1-fbcf1cab8029
12/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;674a61ae-f7b3-4b1c-9a43-0cfe6c511b46
12/04/2024;Adjust balance;Transport;Metro Card;40000;EXPENSE;;;;;;;75fdf260-2de4-46ef-ad14-be73200d03b8
10/04/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;a6cb88eb-6f9f-438a-9a67-73d58a6bb773
10/04/2024;Adjust balance;Transport;Cash;30000;EXPENSE;;;;;;;bfa75682-b795-435a-8566-2057a02b18e8
10/04/2024;Adjust balance;Transport;Salary Bank;70990;EXPENSE;;;;;;;1a537a15-ffa4-43e5-acb8-ae2a39a1998e
10/04/2024;Gym;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;db4d5d93-9d36-4622-9f33-ffe3a81f5187
10/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;e84d01b9-287d-45e2-8de9-05c54092b598
10/04/2024;Shawarma 🌯;Food & Drinks;Salary Bank;140000;EXPENSE;;;;;;;395b3c2e-58b4-4db5-a9d8-4e42b818db08
08/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;e3b176ce-d3cf-4786-90dc-e9042f57f6b5
08/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;66ba10cb-56f7-4313-afd1-48690e8cabdc
07/04/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;94f701db-6572-4e35-85b6-648db71b617a
07/04/2024;Fest;Bills & Fees;Salary Bank;250000;EXPENSE;;;;;;;79c1e6b0-51f6-4e6d-9f7d-98b626720490
06/04/2024;Juice;Food & Drinks;Salary Bank;10000;EXPENSE;;;;;;;fb74083b-ea28-4af5-80eb-84f4df9052cf
06/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;057e1b71-c054-4539-9b55-7bf470e68a30
06/04/2024;Juice;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;c53d9d07-d910-445e-801c-d41f0c7f5309
06/04/2024;Auto;Transport;Cash;20000;EXPENSE;;;;;;;d0ab442a-52ec-445b-84ea-273755da3fb3
05/04/2024;Juice;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;6e1e0f1c-25e7-488b-a5ac-07346327315c
05/04/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;113c8e7b-b90e-4076-8586-d10404e8b74e
05/04/2024;Recharge;Transport;Salary Bank;0;TRANSFER;INR;Metro Card;200;INR;;;2eaf92f1-dfab-4078-a95c-cd378fe0e5eb
05/04/2024;Wow;Bills & Fees;Salary Bank;309840;EXPENSE;;;;;;;bd7c7a55-0da0-4697-b90b-3d3423da3788
05/04/2024;Juice;Food & Drinks;Salary Bank;25000;EXPENSE;;;;;;;09b6a757-ef2d-41af-b5f6-11a018562cf0
05/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;d6d06f16-a9cf-4004-b5dc-cd1ab650372f
04/04/2024;Snacks;Food & Drinks;Salary Bank;75000;EXPENSE;;;;;;;9a254132-ba75-4604-a7b2-0c32e6b6d2b8
04/04/2024;Petrol;Bills & Fees;Salary Bank;100000;EXPENSE;;;;;;;15d4007d-437e-41f1-b476-cefe1a408b5a
04/04/2024;Stonks;Bills & Fees;Salary Bank;761440;INCOME;;;;;;;1df1ce5b-1d36-4172-9031-950a2cb7bc78
03/04/2024;Settlement;Transport;Salary Bank;0;TRANSFER;INR;Savings Bank;3,199.00;INR;;;6440e4bf-f9ac-4649-819d-000b833264eb
03/04/2024;Maa;Bills & Fees;Salary Bank;35000;INCOME;;;;;;;925f49ab-6a95-4ba7-85b5-40ebf01c0f46
03/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;77ef7682-a11e-488f-87b1-09fbfa08761b
03/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;28259330-312f-4173-bdd7-20d8ffe441f1
02/04/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;9763f058-f4cd-4239-b3b4-decacaba4938
02/04/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;263a68dd-b4b5-43b5-8c20-d53ff12921b7
02/04/2024;Juice;Food & Drinks;Cash;10000;EXPENSE;;;;;;;5c4eb6d5-ef06-453f-b1c1-c5377e01be36
02/04/2024;Juice;Food & Drinks;Cash;60000;EXPENSE;;;;;;;340a1e1d-ada0-49c9-97d6-18244d566b89
02/04/2024;Chotu;Bills & Fees;Cash;60000;INCOME;;;;;;;8f5f4a24-742f-4ab4-9821-3fbfac31c591
02/04/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;5fad39bf-5473-4c24-8869-7dde53268f6d
01/04/2024;Netflix;Bills & Fees;Savings Bank;199000;EXPENSE;;;;;;;fdb6c9d4-f0a4-43d7-9c38-48376417a722
01/04/2024;Chotu;Bills & Fees;Savings Bank;35000;EXPENSE;;;;;;;6a0c41ac-05ea-4453-b966-0d8da9015154
01/04/2024;Bhagwat;Bills & Fees;Cash;100000;INCOME;;;;;;;5de6713f-e6c6-490c-ada4-080c3bcf70e9
01/04/2024;Snacks;Food & Drinks;Salary Bank;160000;EXPENSE;;;;;;;0e3be43f-e9cb-405c-8fa1-3c56ae959f43
01/04/2024;Juice;Food & Drinks;Salary Bank;50000;EXPENSE;;;;;;;73b78e97-9b36-4d8c-afe5-8b88faff1778
01/04/2024;Adjust balance;Transport;Cash;50000;EXPENSE;;;;;;;75469fc3-9c9d-4f9c-8f4c-46241e84de79
31/03/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;411136d0-fc08-4266-acba-d1006d6e192e
31/03/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;ee4fd400-7140-47df-ab4b-3716b705b24e
31/03/2024;Baba;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;680d5b03-3f8e-4af0-9b78-d5bed3643c1c
31/03/2024;Shoes;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;ba26720e-7166-4de2-b3eb-fd3f584c7480
31/03/2024;Haircut;Bills & Fees;Salary Bank;150000;EXPENSE;;;;;;;6c4b7d01-9c99-4b44-965e-19fa240d4f40
30/03/2024;Chotu;Bills & Fees;Cash;100000;EXPENSE;;;;;;;e9922e06-03a2-481a-b1ad-7e5f3103c331
29/03/2024;Snacks;Food & Drinks;Salary Bank;90000;EXPENSE;;;;;;;8757b497-c06b-4443-b4b7-9ca049f76c0f
29/03/2024;Maa;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;cbcbc73b-cffb-49dd-ab94-cc919801ddef
29/03/2024;Breakfast;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;8ed18456-97ee-46ac-aae8-cfc341aef822
28/03/2024;Petrol;Bills & Fees;Salary Bank;100000;EXPENSE;;;;;;;aa003083-8c02-4991-8ede-530d13933bb4
28/03/2024;Snacks;Food & Drinks;Salary Bank;250000;EXPENSE;;;;;;;efa39518-8a43-4e57-b9bc-973892e84bea
28/03/2024;Settle;Transport;Salary Bank;5000;EXPENSE;;;;;;;fe27a98e-2d07-48d0-ad58-f05d4939f2ca
28/03/2024;Salary;Bills & Fees;Salary Bank;35000;INCOME;;;;;;;a7be4577-1c79-470a-9b9f-f8901cd5c58e
28/03/2024;Transfer;Transport;Salary Bank;0;TRANSFER;INR;Savings Bank;4,123.00;INR;;;904fab18-9b7d-4984-9c00-1312bd9a96b6
27/03/2024;Ice cream;Food & Drinks;Cash;70000;EXPENSE;;;;;;;841c07c5-e7e2-4566-9516-96d5f1ead847
26/03/2024;Juice;Food & Drinks;Salary Bank;40000;EXPENSE;;;;;;;9c0fe60e-ac97-4502-b9ab-c31dc240e173
26/03/2024;Auto;Transport;Cash;20000;EXPENSE;;;;;;;a1d360ab-6273-4642-ad39-10d19ba8db47
25/03/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;ffcb6133-537a-4421-9097-c97ec0936aa3
25/03/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;2a49ae2e-2449-4a87-aaf7-ab92e2a066a1
25/03/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;ec34f5cc-a926-4894-bc1d-382bbbbcf14f
25/03/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;71741307-625d-493a-82a1-1f38440b088a
25/03/2024;Recharge;Transport;Cash;0;TRANSFER;INR;Metro Card;200;INR;;;58b1c7e6-fc56-4c37-81cc-4f7fc18f6c5d
24/03/2024;Adjust balance;Transport;Salary Bank;105000;EXPENSE;;;;;;;266daf7d-9d01-4dbd-b858-a530c67f97fe
22/03/2024;Bus;Transport;Cash;30000;EXPENSE;;;;;;;ae5713d1-7827-4e4e-bc54-5f1bbcef05aa
22/03/2024;Juice;Food & Drinks;Salary Bank;10000;EXPENSE;;;;;;;8daf75ef-e618-4896-8ac5-4450d89d4c6f
22/03/2024;Snacks;Food & Drinks;Salary Bank;80000;EXPENSE;;;;;;;d96ead87-603d-4cd8-91e8-c4a0adbcfe53
22/03/2024;Withdraw;Transport;Salary Bank;0;TRANSFER;INR;Cash;500;INR;;;364df0cf-66f8-4a2b-9d89-e7f3dce4dcc4
22/03/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;6e9332c0-9bf8-40d3-9938-037d727e7f20
21/03/2024;Baba;Bills & Fees;Salary Bank;500000;EXPENSE;;;;;;;c0e14014-4631-436b-85e0-8550435fa129
21/03/2024;Recharge;Bills & Fees;Salary Bank;259000;EXPENSE;;;;;;;50fd698c-38d6-44b4-a1ed-493fa5706446
21/03/2024;Maa;Bills & Fees;Salary Bank;35000;INCOME;;;;;;;8274c1c3-e626-437d-acf5-ad258be714b5
21/03/2024;Stonks;Bills & Fees;Salary Bank;230000;EXPENSE;;;;;;;a7c3aab2-ec15-4525-b66a-0f979bd1987f
21/03/2024;Petrol;Transport;Salary Bank;200000;EXPENSE;;;;;;;c5b49577-75a9-4001-aadb-4b54ec878b87
19/03/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;ba5e8072-3901-4d13-8bc9-d3a3cc065263
19/03/2024;Snacks;Food & Drinks;Salary Bank;25000;EXPENSE;;;;;;;621b521d-e327-4e91-bcfa-4af0110ded62
19/03/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;65c23e96-b7d0-41db-94c1-021911fbfd93
19/03/2024;Shawarma 🌯;Food & Drinks;Salary Bank;260000;EXPENSE;;;;;;;4ca12ed6-ed5c-4a30-899b-a9b118b48ff7
19/03/2024;Bus pass;Bills & Fees;Salary Bank;430000;EXPENSE;;;;;;;162750b7-9ebb-4350-94fa-9bf9b41e74c5
18/03/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;05ae842e-597e-4763-9cdf-d08b53f33c3e
17/03/2024;Adjust balance;Transport;Cash;110000;EXPENSE;;;;;;;cd3063ea-711a-41f4-b93f-b41ef3ad78b3
16/03/2024;Snacks;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;ead69b7a-41f0-4ec8-85ad-22bb15e2c706
16/03/2024;Rent;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;d860cada-8a39-4cd3-8c88-013010ef88d7
15/03/2024;Juice;Food & Drinks;Salary Bank;40000;EXPENSE;;;;;;;3a4623f6-b762-4db5-9f56-f0bfb0524d3c
15/03/2024;Snacks;Food & Drinks;Salary Bank;20000;EXPENSE;;;;;;;3832a47b-857f-49a9-b49c-edf2a3d18d62
15/03/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;32da42d1-0c4c-4bd7-bd8f-a3b3875b0243
15/03/2024;Bike;Transport;Salary Bank;74000;EXPENSE;;;;;;;ffa618ac-e7fc-4a48-bee3-721da4810004
14/03/2024;Snacks;Food & Drinks;Salary Bank;105000;EXPENSE;;;;;;;0de260a7-ebc6-408a-a781-4f328b406386
13/03/2024;Snacks;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;b72fc70c-f53c-4ae8-b780-26b1704d2086
13/03/2024;Bandages;Bills & Fees;Salary Bank;8000;EXPENSE;;;;;;;b0b8d6ab-7cd1-44fb-aa3f-e5188dc7bb61
12/03/2024;Baba;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;e47c326e-cb25-475c-9fdb-83f83b170cc0
12/03/2024;Doc;Bills & Fees;Salary Bank;60000;EXPENSE;;;;;;;dcb191ed-3007-4de4-91ae-12ca43db6530
12/03/2024;Juice;Food & Drinks;Salary Bank;90000;EXPENSE;;;;;;;3fea7d47-8ade-4011-862e-f074e6d559ac
12/03/2024;Shawarma 🌯;Food & Drinks;Salary Bank;150000;EXPENSE;;;;;;;c74de4d5-f628-456b-acf9-368c1d13bb56
12/03/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;1049850c-828e-4874-beb6-e184ed0270a2
11/03/2024;Jalebi;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;62636a34-7e2c-4f1a-970e-16e1ef618c5b
10/03/2024;;Bills & Fees;Salary Bank;9000;EXPENSE;;;;;;;210f7a28-e04c-4bc1-bb39-a8254ee69074
10/03/2024;Baba;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;27c6c615-72fc-4e42-9358-2dd1caacff90
09/03/2024;Juice;Food & Drinks;Salary Bank;10000;EXPENSE;;;;;;;1f5659e8-450e-4781-83cf-1294c5dfa901
09/03/2024;Petrol;Transport;Salary Bank;200000;EXPENSE;;;;;;;fe3fb8d7-e688-4217-9a48-04fc6e9572cf
08/03/2024;Snacks;Food & Drinks;Salary Bank;10000;EXPENSE;;;;;;;01864be3-6df3-48dd-ab05-4a799a941eb9
08/03/2024;Breakfast;Food & Drinks;Salary Bank;30000;EXPENSE;;;;;;;cf7747b9-5d14-4bc7-9902-94d533cb54ec
07/03/2024;Snacks;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;d005d095-d5fe-4299-ba02-f0446e73e40f
07/03/2024;RtA;Transport;Cash;35000;EXPENSE;;;;;;;3d12199c-1ab3-4795-904c-d108bb8fcf48
07/03/2024;;Transport;Cash;20000;EXPENSE;;;;;;;5ccfaedb-0859-4852-84a1-8225aa26937f
07/03/2024;Adjust balance;Transport;Cash;25000;EXPENSE;;;;;;;a5dc41d8-e604-47dc-ad7e-297e10e9ed04
07/03/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;466c0871-1271-4a37-84fb-69cc5748add8
07/03/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;c3ce527e-d1da-418d-9264-5a77009e0233
07/03/2024;Withdraw;Transport;Salary Bank;0;TRANSFER;INR;Cash;200;INR;;;d536c44e-589c-497a-b4b0-974bf6619ea8
07/03/2024;Recharge;Transport;Salary Bank;0;TRANSFER;INR;Metro Card;250;INR;;;d1fb48c1-35d5-4007-a91c-cd7bb0a65430
06/03/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;7483047d-dba6-4328-bb56-214d2091005d
06/03/2024;Snacks;Food & Drinks;Cash;10000;EXPENSE;;;;;;;91b013e6-85e4-4db2-adfa-c9cffa9fdff8
06/03/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;ae9f4483-fa3b-4f9a-950b-f4c10e366350
06/03/2024;RB 🐂;Food & Drinks;Salary Bank;125000;EXPENSE;;;;;;;8f696a31-7fbd-4dbb-9429-ba273db9a395
06/03/2024;Baba;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;21226b92-8b72-43e0-8c7d-8fab18a1896b
06/03/2024;Netflix;Bills & Fees;Salary Bank;99000;EXPENSE;;;;;;;154eb891-db7a-47b0-b83c-125825331c2b
06/03/2024;;Transport;Savings Bank;5530;INCOME;;;;;;;978228fc-201d-404a-9254-e3ac8acb1b04
05/03/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;cc3d1d9a-1fdb-42d9-b118-26d48d1d31e6
05/03/2024;Bus;Transport;Cash;10000;EXPENSE;;;;;;;429417a0-a502-4cfe-b08e-1fd1d916c295
05/03/2024;RtA;Transport;Metro Card;35000;EXPENSE;;;;;;;319a098b-3fc0-49a0-a652-7b5c8fc5a88b
04/03/2024;Snacks;Food & Drinks;Salary Bank;20000;EXPENSE;;;;;;;a672e06a-a8cd-412f-9261-c9ba102a57fe
04/03/2024;Snacks;Food & Drinks;Salary Bank;25000;EXPENSE;;;;;;;31ed121a-93d6-4228-965c-731c57d1e1cd
04/03/2024;RtA;Transport;Cash;35000;EXPENSE;;;;;;;5506aed7-4e40-4d15-b496-800556a66e95
04/03/2024;AtR;Transport;Metro Card;35000;EXPENSE;;;;;;;df8b34dc-aad0-4b05-8c5b-83715f1ec036
04/03/2024;Baba;Bills & Fees;Cash;80000;EXPENSE;;;;;;;4e6dfdac-b123-4b08-b00e-ec797f7ace0b
04/03/2024;Recharge;Transport;Salary Bank;0;TRANSFER;INR;Metro Card;200;INR;;;f6dae437-30cf-45da-bb2a-9b8d9154f3aa
03/03/2024;Snacks;Food & Drinks;Salary Bank;60000;EXPENSE;;;;;;;ef5b7f34-6f2c-4b79-b821-ddc17cccd23b
03/03/2024;Laptop fixes;Bills & Fees;Salary Bank;150000;EXPENSE;;;;;;;f39a347a-0043-49bf-a4b3-44334eb66f0f
03/03/2024;Juice;Food & Drinks;Salary Bank;100000;EXPENSE;;;;;;;749e7c2c-d444-4f22-8229-4cc7450b02b8
03/03/2024;Snacks;Food & Drinks;Salary Bank;150000;EXPENSE;;;;;;;c8a59a4a-6dd6-467c-90df-afd20a54da5a
02/03/2024;Cab;Bills & Fees;Salary Bank;419000;EXPENSE;;;;;;;ac3de325-7d50-45f9-ae74-ff0f94668ae5
02/03/2024;Can;Bills & Fees;Salary Bank;476000;EXPENSE;;;;;;;7f5a9c5a-f0a6-499f-aac3-6b362288219a
02/03/2024;Dinner;Bills & Fees;Salary Bank;35000;EXPENSE;;;;;;;00afcf13-caf5-467c-bd46-84ff60e800e2
